date,gt_value
2020-01-01,83470
2020-01-16,141224
2020-02-01,74268
2020-02-16,60689
2020-03-01,113300
2020-03-16,37847
2020-04-01,92785
2020-04-16,74313
2020-05-01,73877
2020-05-16,94930
2020-06-01,51215
2020-06-16,68688
2020-07-01,18294
2020-07-16,30417
2020-08-01,44819
2020-08-16,47899
2020-09-01,53430
2020-09-16,46606
2020-10-01,39208
2020-10-16,46738
2020-11-01,58688
2020-11-16,77320
2020-12-01,54450
2020-12-16,49174
2021-01-01,48626
2021-01-16,94284
2021-02-01,94423
2021-02-16,58671
2021-03-01,78762
2021-03-16,50224
2021-04-01,50483
2021-04-16,54397
2021-05-01,68664
2021-05-16,50385
2021-06-01,43936
2021-06-16,29908
2021-07-01,68813
2021-07-16,38388
2021-08-01,40118
2021-08-16,38095
2021-09-01,40141
2021-09-16,47302
2021-10-01,34444
2021-10-16,42783
2021-11-01,47515
2021-11-16,51960
2021-12-01,67806
2021-12-16,41829
