date,Area_Sum
2020-01-01,4051129100
2020-01-16,4093426600
2020-02-01,4323317600
2020-02-16,2177413600
2020-03-01,1680853600
2020-03-16,2936695800
2020-04-01,5297221900
2020-04-16,337495000
2020-05-01,1896883300
2020-05-16,2192345300
2020-06-01,6438797000
2020-06-16,586032700
2020-07-01,3312044300
2020-07-16,4138595300
2020-08-01,4030641600
2020-08-16,3915450400
2020-09-01,1107239100
2020-09-16,1897224400
2020-10-01,1532443300
2020-10-16,2184202100
2020-11-01,383849000
2020-11-16,925623800
2020-12-01,3359004700
2020-12-16,6451752400
2021-01-01,2638480500
2021-01-16,2770971300
2021-02-01,7209916400
2021-02-16,2550646000
2021-03-01,760822000
2021-03-16,658558900
2021-04-01,1120762500
2021-04-16,984028000
2021-05-01,1647502200
2021-05-16,5014549700
2021-06-01,3724706000
2021-06-16,1222487200
2021-07-01,2429173500
2021-07-16,1286239300
2021-08-01,170205200
2021-08-16,819324800
2021-09-01,511244400
2021-09-16,1565529000
2021-10-01,285929100
2021-10-16,1710509100
2021-11-01,2681185700
2021-11-16,911575400
2021-12-01,529150400
2021-12-16,3432642600
